home_team_id,home_team_name,away_team_id,away_team_name,total_matches,home_goals,away_goals,total_goals,goal_difference,home_wins,away_wins,draws,avg_goals_per_match,tournament_id
T-03,Argentina,T-06,Belgium,3,3,1,4,2,0.0,2.0,1.0,1.3333333333333333,WC-1982
T-03,Argentina,T-06,Belgium,3,3,1,4,2,0.0,2.0,1.0,1.3333333333333333,WC-1986
T-03,Argentina,T-06,Belgium,3,3,1,4,2,0.0,2.0,1.0,1.3333333333333333,WC-2014
T-03,Argentina,T-09,Brazil,3,2,5,7,-3,2.0,1.0,0.0,2.3333333333333335,WC-1974
T-03,Argentina,T-09,Brazil,3,2,5,7,-3,2.0,1.0,0.0,2.3333333333333335,WC-1978
T-03,Argentina,T-09,Brazil,3,2,5,7,-3,2.0,1.0,0.0,2.3333333333333335,WC-1982
T-03,Argentina,T-10,Bulgaria,3,3,2,5,1,3.0,0.0,0.0,1.6666666666666667,WC-1962
T-03,Argentina,T-10,Bulgaria,3,3,2,5,1,3.0,0.0,0.0,1.6666666666666667,WC-1986
T-03,Argentina,T-10,Bulgaria,3,3,2,5,1,3.0,0.0,0.0,1.6666666666666667,WC-1994
T-03,Argentina,T-18,Croatia,3,4,3,7,1,1.0,1.0,1.0,2.3333333333333335,WC-1998
T-03,Argentina,T-18,Croatia,3,4,3,7,1,1.0,1.0,1.0,2.3333333333333335,WC-2018
T-03,Argentina,T-18,Croatia,3,4,3,7,1,1.0,1.0,1.0,2.3333333333333335,WC-2022
T-03,Argentina,T-28,England,3,4,4,8,0,1.0,0.0,2.0,2.6666666666666665,WC-1986
T-03,Argentina,T-28,England,3,4,4,8,0,1.0,0.0,2.0,2.6666666666666665,WC-1998
T-03,Argentina,T-28,England,3,4,4,8,0,1.0,0.0,2.0,2.6666666666666665,WC-2002
T-03,Argentina,T-30,France,3,6,4,10,2,1.0,1.0,1.0,3.3333333333333335,WC-1930
T-03,Argentina,T-30,France,3,6,4,10,2,1.0,1.0,1.0,3.3333333333333335,WC-1978
T-03,Argentina,T-30,France,3,6,4,10,2,1.0,1.0,1.0,3.3333333333333335,WC-2022
T-03,Argentina,T-31,Germany,2,1,10,11,-9,1.0,1.0,0.0,5.5,WC-2003
T-03,Argentina,T-31,Germany,2,1,10,11,-9,1.0,1.0,0.0,5.5,WC-2010
T-03,Argentina,T-36,Hungary,2,6,2,8,4,4.0,0.0,-2.0,4.0,WC-1978
T-03,Argentina,T-36,Hungary,2,6,2,8,4,4.0,0.0,-2.0,4.0,WC-1982
T-03,Argentina,T-41,Italy,3,2,3,5,-1,1.0,0.0,2.0,1.6666666666666667,WC-1974
T-03,Argentina,T-41,Italy,3,2,3,5,-1,1.0,0.0,2.0,1.6666666666666667,WC-1978
T-03,Argentina,T-41,Italy,3,2,3,5,-1,1.0,0.0,2.0,1.6666666666666667,WC-1990
T-03,Argentina,T-44,Japan,3,1,1,2,0,0.0,0.0,3.0,0.6666666666666666,WC-1998
T-03,Argentina,T-44,Japan,3,1,1,2,0,0.0,0.0,3.0,0.6666666666666666,WC-2007
T-03,Argentina,T-44,Japan,3,1,1,2,0,0.0,0.0,3.0,0.6666666666666666,WC-2019
T-03,Argentina,T-46,Mexico,4,13,5,18,8,0.0,0.0,4.0,4.5,WC-1930
T-03,Argentina,T-46,Mexico,4,13,5,18,8,0.0,0.0,4.0,4.5,WC-2006
T-03,Argentina,T-46,Mexico,4,13,5,18,8,0.0,0.0,4.0,4.5,WC-2010
