team_id,tournament_id,total_matches,home_matches,performance,year,host_country,home_win_percentage,performance_score,tournaments_participated
T-14,WC-1999,6,4,final,1999,United States,66.66666666666666,,8
T-14,WC-2002,3,1,group stage,2002,"Korea, Japan",33.33333333333333,6.0,8
T-14,WC-2003,4,4,quarter-final,2003,United States,100.0,,8
T-14,WC-2007,4,2,quarter-final,2007,China,50.0,,8
T-14,WC-2015,5,4,quarter-final,2015,Canada,80.0,,8
T-14,WC-2019,4,1,round of 16,2019,France,25.0,5.0,8
T-15,WC-1991,4,3,quarter-final,1991,China,75.0,,1
T-16,WC-1962,3,0,group stage,1962,Chile,0.0,6.0,8
T-16,WC-1990,4,0,round of 16,1990,Italy,0.0,5.0,8
T-16,WC-1994,3,1,group stage,1994,United States,33.33333333333333,6.0,8
T-16,WC-1998,3,2,group stage,1998,France,66.66666666666666,6.0,8
T-16,WC-2011,3,1,group stage,2011,Germany,33.33333333333333,6.0,8
T-16,WC-2014,5,3,quarter-finals,2014,Brazil,60.0,4.0,8
T-16,WC-2015,4,1,round of 16,2015,Canada,25.0,5.0,8
T-16,WC-2018,4,2,round of 16,2018,Russia,50.0,5.0,8
T-17,WC-1990,4,1,round of 16,1990,Italy,25.0,5.0,7
T-17,WC-2002,3,2,group stage,2002,"Korea, Japan",66.66666666666666,6.0,7
