team_id,tournament_id,total_matches,home_matches,performance,year,host_country,home_win_percentage,performance_score,tournaments_participated
T-65,WC-2002,5,2,quarter-finals,2002,"Korea, Japan",40.0,4.0,3
T-65,WC-2018,3,1,group stage,2018,Russia,33.33333333333333,6.0,3
T-65,WC-2022,4,1,round of 16,2022,Qatar,25.0,5.0,3
T-66,WC-2010,3,1,group stage,2010,South Africa,33.33333333333333,6.0,3
T-66,WC-2018,3,2,group stage,2018,Russia,66.66666666666666,6.0,3
T-66,WC-2022,3,1,group stage,2022,Qatar,33.33333333333333,6.0,3
T-67,WC-2006,3,1,group stage,2006,Germany,33.33333333333333,6.0,1
T-68,WC-2010,4,2,round of 16,2010,South Africa,50.0,5.0,1
T-69,WC-2002,3,1,group stage,2002,"Korea, Japan",33.33333333333333,6.0,2
T-69,WC-2010,3,2,group stage,2010,South Africa,66.66666666666666,6.0,2
T-70,WC-1998,3,2,group stage,1998,France,66.66666666666666,6.0,4
T-70,WC-2002,3,2,group stage,2002,"Korea, Japan",66.66666666666666,6.0,4
T-70,WC-2010,3,2,group stage,2010,South Africa,66.66666666666666,6.0,4
T-70,WC-2019,3,2,group stage,2019,France,66.66666666666666,6.0,4
T-71,WC-1954,2,0,group stage,1954,Switzerland,0.0,6.0,14
T-71,WC-1986,3,2,group stage,1986,Mexico,66.66666666666666,6.0,14
T-71,WC-1990,3,2,group stage,1990,Italy,66.66666666666666,6.0,14
T-71,WC-1994,3,1,group stage,1994,United States,33.33333333333333,6.0,14
T-71,WC-1998,3,1,group stage,1998,France,33.33333333333333,6.0,14
T-71,WC-2002,7,4,third-place match,2002,"Korea, Japan",57.14285714285714,,14
T-71,WC-2003,3,1,group stage,2003,United States,33.33333333333333,6.0,14
T-71,WC-2006,3,1,group stage,2006,Germany,33.33333333333333,6.0,14
T-71,WC-2010,4,1,round of 16,2010,South Africa,25.0,5.0,14
T-71,WC-2014,3,2,group stage,2014,Brazil,66.66666666666666,6.0,14
T-71,WC-2015,4,2,round of 16,2015,Canada,50.0,5.0,14
T-71,WC-2018,3,2,group stage,2018,Russia,66.66666666666666,6.0,14
T-71,WC-2019,3,1,group stage,2019,France,33.33333333333333,6.0,14
T-71,WC-2022,4,2,round of 16,2022,Qatar,50.0,5.0,14
T-72,WC-1958,5,3,quarter-finals,1958,Sweden,60.0,4.0,7
T-72,WC-1962,4,3,quarter-finals,1962,Chile,75.0,4.0,7
T-72,WC-1966,6,4,third-place match,1966,England,66.66666666666666,,7
T-72,WC-1970,4,3,quarter-finals,1970,Mexico,75.0,4.0,7
T-72,WC-1982,5,3,second group stage,1982,Spain,60.0,,7
T-72,WC-1986,4,3,round of 16,1986,Mexico,75.0,5.0,7
T-72,WC-1990,3,1,group stage,1990,Italy,33.33333333333333,6.0,7
T-73,WC-1934,3,1,quarter-finals,1934,Italy,33.33333333333333,4.0,18
T-73,WC-1950,6,3,final round,1950,Brazil,50.0,,18
T-73,WC-1962,3,1,group stage,1962,Chile,33.33333333333333,6.0,18
T-73,WC-1966,3,1,group stage,1966,England,33.33333333333333,6.0,18
T-73,WC-1978,3,1,group stage,1978,Argentina,33.33333333333333,6.0,18
T-73,WC-1982,5,4,second group stage,1982,Spain,80.0,,18
T-73,WC-1986,5,2,quarter-finals,1986,Mexico,40.0,4.0,18
T-73,WC-1990,4,1,round of 16,1990,Italy,25.0,5.0,18
T-73,WC-1994,5,2,quarter-finals,1994,United States,40.0,4.0,18
T-73,WC-1998,3,3,group stage,1998,France,100.0,6.0,18
T-73,WC-2002,5,4,quarter-finals,2002,"Korea, Japan",80.0,4.0,18
T-73,WC-2006,4,3,round of 16,2006,Germany,75.0,5.0,18
T-73,WC-2010,7,3,final,2010,South Africa,42.857142857142854,,18
T-73,WC-2014,3,2,group stage,2014,Brazil,66.66666666666666,6.0,18
T-73,WC-2015,3,1,group stage,2015,Canada,33.33333333333333,6.0,18
T-73,WC-2018,4,2,round of 16,2018,Russia,50.0,5.0,18
T-73,WC-2019,4,2,round of 16,2019,France,50.0,5.0,18
T-73,WC-2022,4,2,round of 16,2022,Qatar,50.0,5.0,18
T-74,WC-1934,2,1,quarter-finals,1934,Italy,50.0,4.0,20
T-74,WC-1938,3,1,third-place match,1938,France,33.33333333333333,,20
T-74,WC-1950,5,3,final round,1950,Brazil,60.0,,20
T-74,WC-1958,6,5,final,1958,Sweden,83.33333333333334,,20
T-74,WC-1970,3,2,group stage,1970,Mexico,66.66666666666666,6.0,20
T-74,WC-1974,6,4,second group stage,1974,West Germany,66.66666666666666,,20
T-74,WC-1978,3,0,group stage,1978,Argentina,0.0,6.0,20
T-74,WC-1990,3,2,group stage,1990,Italy,66.66666666666666,6.0,20
T-74,WC-1991,6,3,third-place match,1991,China,50.0,,20
T-74,WC-1994,7,3,third-place match,1994,United States,42.857142857142854,,20
T-74,WC-1995,4,4,quarter-final,1995,Sweden,100.0,,20
T-74,WC-1999,4,0,quarter-final,1999,United States,0.0,,20
T-74,WC-2002,4,3,round of 16,2002,"Korea, Japan",75.0,5.0,20
T-74,WC-2003,6,3,final,2003,United States,50.0,,20
T-74,WC-2006,4,2,round of 16,2006,Germany,50.0,5.0,20
T-74,WC-2007,3,1,group stage,2007,China,33.33333333333333,6.0,20
T-74,WC-2011,6,3,third-place match,2011,Germany,50.0,,20
T-74,WC-2015,4,1,round of 16,2015,Canada,25.0,5.0,20
T-74,WC-2018,5,3,quarter-finals,2018,Russia,60.0,4.0,20
T-74,WC-2019,7,3,third-place match,2019,France,42.857142857142854,,20
T-75,WC-1934,2,1,quarter-finals,1934,Italy,50.0,4.0,13
T-75,WC-1938,3,2,quarter-finals,1938,France,66.66666666666666,4.0,13
T-75,WC-1950,3,1,group stage,1950,Brazil,33.33333333333333,6.0,13
T-75,WC-1954,4,2,quarter-finals,1954,Switzerland,50.0,4.0,13
T-75,WC-1962,3,0,group stage,1962,Chile,0.0,6.0,13
T-75,WC-1966,3,0,group stage,1966,England,0.0,6.0,13
T-75,WC-1994,4,1,round of 16,1994,United States,25.0,5.0,13
T-75,WC-2006,4,2,round of 16,2006,Germany,50.0,5.0,13
T-75,WC-2010,3,1,group stage,2010,South Africa,33.33333333333333,6.0,13
T-75,WC-2014,4,2,round of 16,2014,Brazil,50.0,5.0,13
T-75,WC-2015,4,2,round of 16,2015,Canada,50.0,5.0,13
T-75,WC-2018,4,1,round of 16,2018,Russia,25.0,5.0,13
T-75,WC-2022,4,1,round of 16,2022,Qatar,25.0,5.0,13
T-76,WC-2015,3,1,group stage,2015,Canada,33.33333333333333,6.0,2
T-76,WC-2019,3,1,group stage,2019,France,33.33333333333333,6.0,2
T-77,WC-2006,3,2,group stage,2006,Germany,66.66666666666666,6.0,1
T-78,WC-2006,3,1,group stage,2006,Germany,33.33333333333333,6.0,1
T-79,WC-1978,3,1,group stage,1978,Argentina,33.33333333333333,6.0,6
T-79,WC-1998,3,0,group stage,1998,France,0.0,6.0,6
T-79,WC-2002,3,2,group stage,2002,"Korea, Japan",66.66666666666666,6.0,6
T-79,WC-2006,3,1,group stage,2006,Germany,33.33333333333333,6.0,6
T-79,WC-2018,3,1,group stage,2018,Russia,33.33333333333333,6.0,6
T-79,WC-2022,3,2,group stage,2022,Qatar,66.66666666666666,6.0,6
T-80,WC-1954,3,1,group stage,1954,Switzerland,33.33333333333333,6.0,2
T-80,WC-2002,7,1,third-place match,2002,"Korea, Japan",14.285714285714285,,2
T-81,WC-2006,5,1,quarter-finals,2006,Germany,20.0,4.0,1
T-82,WC-1990,3,1,group stage,1990,Italy,33.33333333333333,6.0,1
T-83,WC-1930,3,2,semi-finals,1930,Uruguay,66.66666666666666,3.0,19
T-83,WC-1934,1,0,round of 16,1934,Italy,0.0,5.0,19
T-83,WC-1950,3,1,group stage,1950,Brazil,33.33333333333333,6.0,19
T-83,WC-1990,3,1,group stage,1990,Italy,33.33333333333333,6.0,19
T-83,WC-1991,6,1,final,1991,China,16.666666666666664,,19
T-83,WC-1994,4,3,round of 16,1994,United States,75.0,5.0,19
T-83,WC-1995,6,4,third-place match,1995,Sweden,66.66666666666666,,19
T-83,WC-1998,3,2,group stage,1998,France,66.66666666666666,6.0,19
