id,matches_played,goals_scored,total_yellow_cards,total_red_cards,tournaments_participated,team_id,family_name,given_name,role,matches_managed,matches_officiated,award_name
P-00668,2.0,0.0,1.0,0.0,1,T-79,Melki,Mourad,Forward,,,
P-00683,3.0,0.0,1.0,0.0,1,T-63,Al-Yami,Al Hasan,Forward,,,
P-00685,1.0,0.0,0.0,0.0,1,T-39,Abid,Anad,Forward,,,
P-00707,1.0,0.0,0.0,0.0,1,T-87,Hrstić,Miloš,Defender,,,
P-00708,0.0,0.0,0.0,0.0,0,,Fernando,not applicable,Midfielder,,,
P-00733,0.0,0.0,0.0,0.0,0,,Gentle,James,Forward,,,
P-00739,0.0,0.0,0.0,0.0,0,,Mialo,Mwape,Defender,,,
P-00740,0.0,0.0,0.0,0.0,0,,Svanström,Kurt,Midfielder,,,
P-00746,2.0,2.0,0.0,0.0,1,T-74,Turesson,Tom,Forward,,,
P-00747,0.0,0.0,0.0,0.0,0,,Escuti,Misael,Goalkeeper,,,
P-00781,2.0,0.0,0.0,0.0,1,T-17,Colindres,Daniel,Midfielder,,,
P-00793,0.0,0.0,0.0,0.0,0,,Vonlanthen,Marcel,Forward,,,
P-00795,0.0,0.0,0.0,0.0,0,,Csuhay,József,Defender,,,
P-00796,0.0,0.0,0.0,0.0,0,,Dunlop,George,Goalkeeper,,,
P-00809,1.0,0.0,0.0,0.0,1,T-12,Millar,Liam,Midfielder,,,
P-00820,2.0,0.0,1.0,0.0,1,T-53,Gardsjord,Hedda Strand,Defender,,,
P-00836,0.0,0.0,0.0,0.0,0,,Schindelholz,Jean-Claude,Forward,,,
P-00848,3.0,0.0,0.0,0.0,1,T-16,Palacios,Ever,Defender,,,
P-00855,0.0,0.0,0.0,0.0,0,,Roma,Antonio,Goalkeeper,,,
P-00867,0.0,0.0,0.0,0.0,0,,Marzolini,Silvio,Defender,,,
P-00875,1.0,0.0,0.0,0.0,1,T-75,Stocker,Valentin,Midfielder,,,
P-00891,3.0,0.0,0.0,0.0,1,T-74,Larsson,Lennart,Midfielder,,,
P-00916,10.0,0.0,0.0,0.0,2,T-30,Wiltord,Sylvain,Forward,,,
P-00941,0.0,0.0,0.0,0.0,0,,Vergés,Martí,Midfielder,,,
P-00957,3.0,0.0,0.0,0.0,1,T-01,Belhadj,Nadir,Defender,,,
P-00981,1.0,0.0,0.0,0.0,1,T-03,Fazio,Federico,Defender,,,
P-00987,0.0,0.0,0.0,0.0,0,,Echeberría,Luis María,Defender,,,
P-01012,3.0,3.0,0.0,0.0,1,T-69,Ljubijankić,Zlatan,Forward,,,
P-01013,0.0,1.0,0.0,0.0,1,,Barison,Paolo,Midfielder,,,
P-01018,0.0,0.0,0.0,0.0,0,,Matysek,Adam,Goalkeeper,,,
P-01019,1.0,0.0,0.0,0.0,1,T-43,Silver,Lauren,Defender,,,
P-01039,0.0,0.0,0.0,0.0,0,,Yusuf,Ayisat,Defender,,,
P-01045,1.0,1.0,1.0,0.0,1,T-41,Quagliarella,Fabio,Forward,,,
P-01062,2.0,0.0,0.0,0.0,1,T-32,Tahiru,Rumanatu,Forward,,,
P-01064,4.0,0.0,0.0,0.0,1,T-33,Karnezis,Orestis,Goalkeeper,,,
P-01068,3.0,6.0,0.0,0.0,1,T-16,Martínez,Jackson,Forward,,,
P-01077,2.0,0.0,1.0,0.0,1,T-59,Mohammad,Ismaeel,Defender,,,
P-01078,2.0,0.0,0.0,0.0,1,T-41,Immobile,Ciro,Forward,,,
P-01092,0.0,0.0,0.0,0.0,0,,González,Manuela,Forward,,,
P-01096,0.0,0.0,0.0,0.0,0,,Lundh,Emma,Forward,,,
P-01106,0.0,0.0,0.0,0.0,0,,Scott,Laurie,Defender,,,
P-01116,0.0,0.0,0.0,0.0,0,,González,Alberto,Defender,,,
P-01137,5.0,10.0,4.0,0.0,2,T-61,Lăcătuș,Marius,Forward,,,
P-01164,7.0,0.0,2.0,0.0,2,T-50,Mikel,John Obi,Midfielder,,,
