home_team_id,away_team_id,home_team_name,away_team_name,total_matches,total_goals,tournament_id
T-09,T-64,Brazil,Scotland,3,9,WC-1982
T-09,T-64,Brazil,Scotland,3,9,WC-1990
T-09,T-64,Brazil,Scotland,3,9,WC-1998
T-09,T-71,Brazil,South Korea,3,10,WC-2003
T-09,T-71,Brazil,South Korea,3,10,WC-2015
T-09,T-71,Brazil,South Korea,3,10,WC-2022
T-09,T-72,Brazil,Soviet Union,2,5,WC-1958
T-09,T-72,Brazil,Soviet Union,2,5,WC-1982
T-09,T-73,Brazil,Spain,4,11,WC-1950
T-09,T-73,Brazil,Spain,4,11,WC-1962
T-09,T-73,Brazil,Spain,4,11,WC-1978
T-09,T-73,Brazil,Spain,4,11,WC-2015
T-09,T-74,Brazil,Sweden,8,33,WC-1938
T-09,T-74,Brazil,Sweden,8,33,WC-1950
T-09,T-74,Brazil,Sweden,8,33,WC-1958
T-09,T-74,Brazil,Sweden,8,33,WC-1978
T-09,T-74,Brazil,Sweden,8,33,WC-1990
T-09,T-74,Brazil,Sweden,8,33,WC-1991
T-09,T-74,Brazil,Sweden,8,33,WC-1994
T-09,T-74,Brazil,Sweden,8,33,WC-2003
T-09,T-75,Brazil,Switzerland,3,7,WC-1950
T-09,T-75,Brazil,Switzerland,3,7,WC-2018
T-09,T-75,Brazil,Switzerland,3,7,WC-2022
T-09,T-80,Brazil,Turkey,2,4,WC-2002
T-09,T-83,Brazil,United States,3,10,WC-1991
T-09,T-83,Brazil,United States,3,10,WC-1994
T-09,T-83,Brazil,United States,3,10,WC-2011
T-09,T-87,Brazil,Yugoslavia,3,4,WC-1950
T-09,T-87,Brazil,Yugoslavia,3,4,WC-1954
T-09,T-87,Brazil,Yugoslavia,3,4,WC-1974
T-10,T-41,Bulgaria,Italy,2,5,WC-1986
T-10,T-41,Bulgaria,Italy,2,5,WC-1994
T-11,T-09,Cameroon,Brazil,2,6,WC-2014
T-11,T-09,Cameroon,Brazil,2,6,WC-2022
T-12,T-30,Canada,France,2,5,WC-1986
T-12,T-30,Canada,France,2,5,WC-2011
T-12,T-49,Canada,New Zealand,2,2,WC-2015
T-12,T-49,Canada,New Zealand,2,2,WC-2019
T-13,T-05,Chile,Austria,2,3,WC-1982
T-13,T-05,Chile,Austria,2,3,WC-1998
T-13,T-75,Chile,Switzerland,2,5,WC-1962
T-13,T-75,Chile,Switzerland,2,5,WC-2010
T-14,T-04,China,Australia,3,12,WC-1995
T-14,T-04,China,Australia,3,12,WC-1999
T-14,T-04,China,Australia,3,12,WC-2003
T-14,T-22,China,Denmark,3,13,WC-1991
T-14,T-22,China,Denmark,3,13,WC-1995
T-14,T-22,China,Denmark,3,13,WC-2007
T-14,T-32,China,Ghana,2,8,WC-1999
T-14,T-32,China,Ghana,2,8,WC-2003
T-14,T-49,China,New Zealand,3,11,WC-1991
T-14,T-49,China,New Zealand,3,11,WC-2007
T-14,T-49,China,New Zealand,3,11,WC-2015
T-14,T-62,China,Russia,2,3,WC-1999
T-14,T-62,China,Russia,2,3,WC-2003
T-14,T-74,China,Sweden,2,4,WC-1991
T-14,T-74,China,Sweden,2,4,WC-1999
T-14,T-83,China,United States,2,3,WC-1995
T-14,T-83,China,United States,2,3,WC-2015
T-16,T-28,Colombia,England,2,4,WC-1998
